Datetime (CET+1/CEST +2),Datetime (UTC),Elia Grid Load [MW]
01/09/2022 00:00:00,31/08/2022 23:00:00,19682
01/10/2022 00:00:00,30/09/2022 23:00:00,32273
01/11/2022 00:00:00,31/10/2022 23:00:00,37647
01/12/2022 00:00:00,30/11/2022 23:00:00,59611
01/01/2023 00:00:00,31/12/2022 23:00:00,86009
01/02/2023 00:00:00,31/01/2023 23:00:00,49437
01/03/2023 00:00:00,28/02/2023 23:00:00,45676
01/04/2023 00:00:00,31/03/2023 23:00:00,50924
01/05/2023 00:00:00,30/04/2023 23:00:00,61187
01/06/2023 00:00:00,31/05/2023 23:00:00,67689
01/07/2023 00:00:00,30/06/2023 23:00:00,73465
01/08/2023 00:00:00,31/07/2023 23:00:00,76578
01/09/2023 00:00:00,31/08/2023 23:00:00,81830
01/10/2023 00:00:00,30/09/2023 23:00:00,87236
01/11/2023 00:00:00,31/10/2023 23:00:00,77301
01/12/2023 00:00:00,30/11/2023 23:00:00,96066
01/01/2024 00:00:00,31/12/2023 23:00:00,91608
01/02/2024 00:00:00,31/01/2024 23:00:00,86915
01/03/2024 00:00:00,28/02/2024 23:00:00,74153
01/04/2024 00:00:00,31/03/2024 23:00:00,76971
